County,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney and City ,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,City of Westminster
2019,E09000002,E09000003,E09000004,E09000005,E09000006,E09000007,E09000008,E09000009,E09000010,E09000011,E09000012,E09000013,E09000014,E09000015,E09000016,E09000017,E09000018,E09000019,E09000020,E09000021,E09000022,E09000023,E09000024,E09000025,E09000026,E09000027,E09000028,E09000029,E09000030,E09000031,E09000032,E09000033
CO2,403002,996594,1435925,696662,804168,714103,805460,822635,1657051,626183,641439,442384,480291,511929,770761,1819010,799401,433955,482201,394821,617377,878010,443608,760494,617456,503207,596439,662032,545213,499471,635090,1020321
PM2.5,89,147,127,112,131,98,129,129,140,115,101,60,63,80,121,247,131,57,61,69,74,71,74,121,100,77,76,73,104,76,91,184
PM10,205,324,263,271,247,228,306,272,311,257,244,142,126,174,283,630,435,107,109,163,174,127,137,388,193,182,164,142,235,143,183,331
NOX,746,1451,1973,986,1038,1084,991,1197,1924,1022,994,580,570,584,1189,4611,1973,548,614,585,730,1156,559,1230,816,753,852,766,1053,627,767,1729
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,378497,931613,2346655,1146108,735270,628638,719744,771313,1870190,544299,590543,406433,446733,487341,676937,1766131,755244,400111,445887,379459,546808,701847,395774,715444,580323,497156,547246,359546,476354,467118,582578,955693
PM2.5,105,189,144,118,160,101,139,162,168,139,117,66,76,96,137,279,124,63,64,76,97,85,79,131,108,87,89,84,113,86,103,204
PM10,235,469,304,242,361,178,290,333,381,330,334,127,170,214,322,581,259,120,109,157,227,189,149,290,218,178,204,162,230,180,206,347
NOX,909,1832,2238,1419,1285,1137,1200,1632,2489,1260,1260,730,788,768,1377,5143,2054,673,746,730,941,1439,644,1468,1025,978,1057,679,1185,812,955,2052
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,707194,971426,600597,666849,778200,655957,758492,828796,1632801,600965,606306,425957,455347,551880,972123,1963425,838249,418885,451070,397319,621818,882993,437496,812883,644785,549491,591070,391367,487487,488298,620520,977775
PM2.5,78,125,82,72,90,57,80,106,101,97,59,42,45,58,91,186,92,35,39,41,61,51,52,75,69,51,56,50,65,52,65,80
PM10,131,244,144,141,173,105,158,202,225,174,115,78,88,103,203,337,179,68,72,86,116,100,94,141,145,101,110,88,121,108,119,154
NOX,1158,2103,1481,1439,1485,1283,1455,1947,2692,1458,1318,857,907,1089,1728,5264,2499,886,857,891,1278,1364,837,1749,1170,1094,1200,819,1194,987,1215,1960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,PMI2.5,PMI10,NOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Value,-0.265494865,-0.269418213,-0.212582018,-0.189238615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Value,0.141936698,0.135921109,0.242761671,0.299589181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Value,0.37157922,0.344747994,0.370650818,0.344798943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Value,0.036262186,0.053321947,0.036767605,0.053284399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
